unip	degree	type
Q9P2K8	5.999999999999999	"Mendelian
disease"
P35568	46.0	"Mendelian
disease"
P42224	43.0	"Mendelian
disease"
Q9Y2Q5	17.0	"Mendelian
disease"
Q9Y4H2	21.0	"Mendelian
disease"
P51970	68.0	"Mendelian
disease"
P06730	23.999999999999996	"Mendelian
disease"
Q9UGJ0	6.999999999999999	"Mendelian
disease"
P15735	11.0	"Mendelian
disease"
Q9UGI9	5.0	"Mendelian
disease"
Q96SD1	8.0	"Mendelian
disease"
P35916	19.0	"Mendelian
disease"
P35968	42.0	"Mendelian
disease"
Q14563	2.0	"Mendelian
disease"
O14908	9.0	"Mendelian
disease"
P11362	52.0	"Mendelian
disease"
P61981	52.0	"Mendelian
disease"
Q14315	30.0	"Mendelian
disease"
P30154	52.0	"Mendelian
disease"
Q96RN1	1.0	"Mendelian
disease"
O14745	17.0	"Mendelian
disease"
P36405	10.0	"Mendelian
disease"
P07101	10.0	"Mendelian
disease"
P27448	15.0	"Mendelian
disease"
O43379	5.0	"Mendelian
disease"
O15151	23.0	"Mendelian
disease"
Q8NI22	17.0	"Mendelian
disease"
Q92993	65.0	"Mendelian
disease"
Q15532	21.0	"Mendelian
disease"
P07359	16.0	"Mendelian
disease"
P07585	13.999999999999998	"Mendelian
disease"
P16144	11.999999999999998	"Mendelian
disease"
P08514	6.999999999999999	"Mendelian
disease"
P21860	23.999999999999996	"Mendelian
disease"
Q13153	46.0	"Mendelian
disease"
P18564	16.0	"Mendelian
disease"
O75962	11.999999999999998	"Mendelian
disease"
P05106	33.0	"Mendelian
disease"
P05107	21.0	"Mendelian
disease"
P08151	18.0	"Mendelian
disease"
P24844	9.0	"Mendelian
disease"
Q13085	8.0	"Mendelian
disease"
O95278	5.0	"Mendelian
disease"
Q99757	6.999999999999999	"Mendelian
disease"
O95140	9.0	"Mendelian
disease"
P54253	6.999999999999999	"Mendelian
disease"
O43464	21.0	"Mendelian
disease"
P60900	81.0	"Mendelian
disease"
Q13618	90.0	"Mendelian
disease"
Q9UKB1	42.0	"Mendelian
disease"
Q13936	16.0	"Mendelian
disease"
Q96IV0	8.0	"Mendelian
disease"
Q9H040	2.9999999999999996	"Mendelian
disease"
P04234	5.0	"Mendelian
disease"
Q14643	19.0	"Mendelian
disease"
Q9BZE9	18.0	"Mendelian
disease"
Q9NUW8	8.0	"Mendelian
disease"
P21359	6.999999999999999	"Mendelian
disease"
Q9NVI7	9.0	"Mendelian
disease"
O00767	9.0	"Mendelian
disease"
Q14573	11.0	"Mendelian
disease"
P98073	8.0	"Mendelian
disease"
Q8WUM0	16.0	"Mendelian
disease"
Q12955	11.0	"Mendelian
disease"
O15357	19.0	"Mendelian
disease"
Q14203	52.99999999999999	"Mendelian
disease"
Q16526	19.0	"Mendelian
disease"
Q00325	21.0	"Mendelian
disease"
Q969Q6	10.0	"Mendelian
disease"
Q5FBB7	17.0	"Mendelian
disease"
Q00005	22.0	"Mendelian
disease"
Q14738	27.0	"Mendelian
disease"
Q9BUL8	24.999999999999996	"Mendelian
disease"
P09619	44.0	"Mendelian
disease"
P07550	24.999999999999996	"Mendelian
disease"
P19022	23.999999999999996	"Mendelian
disease"
Q9ULV1	5.0	"Mendelian
disease"
P40879	2.0	"Mendelian
disease"
P17252	36.99999999999999	"Mendelian
disease"
P26038	39.0	"Mendelian
disease"
P35240	15.0	"Mendelian
disease"
P28065	52.0	"Mendelian
disease"
P28070	67.0	"Mendelian
disease"
Q9Y244	23.0	"Mendelian
disease"
Q9Y3I1	20.0	"Mendelian
disease"
P40306	39.0	"Mendelian
disease"
Q969U7	34.0	"Mendelian
disease"
P28062	49.99999999999999	"Mendelian
disease"
Q5VVJ2	44.0	"Mendelian
disease"
Q13094	26.0	"Mendelian
disease"
O75030	10.0	"Mendelian
disease"
Q92574	16.0	"Mendelian
disease"
Q9BWT1	4.0	"Mendelian
disease"
P24723	5.0	"Mendelian
disease"
Q9Y2K2	8.0	"Mendelian
disease"
P20941	11.0	"Mendelian
disease"
P13224	5.0	"Mendelian
disease"
O14974	23.0	"Mendelian
disease"
P21802	33.0	"Mendelian
disease"
P24385	33.0	"Mendelian
disease"
P22460	10.0	"Mendelian
disease"
P20700	11.999999999999998	"Mendelian
disease"
O75190	11.0	"Mendelian
disease"
Q53FT3	4.0	"Mendelian
disease"
P14598	19.0	"Mendelian
disease"
P14324	17.0	"Mendelian
disease"
Q8NCW5	11.999999999999998	"Mendelian
disease"
P13473	6.999999999999999	"Mendelian
disease"
Q9UBS4	10.0	"Mendelian
disease"
O95255	2.0	"Mendelian
disease"
P11678	2.9999999999999996	"Mendelian
disease"
P56703	5.999999999999999	"Mendelian
disease"
P51797	1.0	"Mendelian
disease"
