unip	degree	type
Q09472	0.014426230808996592	"Mendelian
disease"
P20226	0.002361596515210326	"Mendelian
disease"
P63165	0.0033300419487413825	"Mendelian
disease"
Q13451	0.00043981557281873963	"Mendelian
disease"
Q9UNE7	0.003522669740876366	"Mendelian
disease"
P48552	5.126320716247386e-05	"Mendelian
disease"
Q71SY5	6.094907717383549e-05	"Mendelian
disease"
P00533	0.017528858416317943	"Mendelian
disease"
P04049	0.00519099996368129	"Mendelian
disease"
Q9Y3R0	0.0009592087400898329	"Mendelian
disease"
Q16620	0.0007665545159468712	"Mendelian
disease"
P31749	0.010665182216311374	"Mendelian
disease"
Q00987	0.001825980942805204	"Mendelian
disease"
P10276	0.0016448131485241081	"Mendelian
disease"
P17612	0.00473340667592661	"Mendelian
disease"
O00499	0.00020414811041248696	"Mendelian
disease"
Q13509	8.832880080469113e-05	"Mendelian
disease"
P48730	0.0012628331274429623	"Mendelian
disease"
P0DPH8	7.927658975327737e-05	"Mendelian
disease"
Q9UBN7	0.002928397074002576	"Mendelian
disease"
P10644	0.0008580627585853827	"Mendelian
disease"
P22612	0.00011481264553716235	"Mendelian
disease"
P0DP23	0.012068617160827808	"Mendelian
disease"
Q9BXM0	3.827491036515765e-05	"Mendelian
disease"
P40763	0.004044261542018114	"Mendelian
disease"
P52333	0.0001606057692922937	"Mendelian
disease"
P23458	0.00271762956773145	"Mendelian
disease"
P27986	0.005255255438233915	"Mendelian
disease"
P25963	0.003157153716746096	"Mendelian
disease"
O60282	0.00047374016339014994	"Mendelian
disease"
O00303	0.0019339786416775466	"Mendelian
disease"
Q96ST3	0.004370912701568275	"Mendelian
disease"
Q6RI45	0.0	"Mendelian
disease"
O14640	0.0005676901647242202	"Mendelian
disease"
Q8N7H5	0.00016640364576547492	"Mendelian
disease"
Q96IZ7	0.002043463685115949	"Mendelian
disease"
Q9NQB0	0.0002208755203597316	"Mendelian
disease"
Q9NZR4	0.0	"Mendelian
disease"
P04637	0.012977131889537677	"Mendelian
disease"
P60484	0.0023365976137307647	"Mendelian
disease"
Q13351	0.00021718513551290372	"Mendelian
disease"
O15266	9.023609238940233e-06	"Mendelian
disease"
P12830	0.0013000950937781808	"Mendelian
disease"
P33527	0.00037566781086259527	"Mendelian
disease"
Q13501	0.00602324582464256	"Mendelian
disease"
P67870	0.002381116311070872	"Mendelian
disease"
Q9C0J9	0.0002203018700779607	"Mendelian
disease"
P29590	0.0005206563563568158	"Mendelian
disease"
Q12873	0.0003157006796227587	"Mendelian
disease"
P13569	0.000697410153019934	"Mendelian
disease"
P20749	6.247223333791218e-05	"Mendelian
disease"
Q9NPJ1	0.00018748955853794438	"Mendelian
disease"
P00441	0.0013985782758821534	"Mendelian
disease"
O43918	0.00033257224369263226	"Mendelian
disease"
P08235	5.6840017205326415e-05	"Mendelian
disease"
Q7Z6Z7	0.000966983017518986	"Mendelian
disease"
P03372	0.0076796338286560595	"Mendelian
disease"
Q13217	0.00019118083709074562	"Mendelian
disease"
Q9Y6K9	0.0018222088752259647	"Mendelian
disease"
P25686	5.034623055306201e-07	"Mendelian
disease"
P00519	0.00598018460100006	"Mendelian
disease"
O95817	0.0001332883136324381	"Mendelian
disease"
P31327	8.58487024056313e-05	"Mendelian
disease"
P04629	0.0010772325615002497	"Mendelian
disease"
O60260	0.004730197760852049	"Mendelian
disease"
P02511	0.00037602112084640166	"Mendelian
disease"
